device,brand,chips,boot_stm32,boot_gd32,boot_at32,ble,ble_v2
m365,mi,stm32,mi_DRV.bin,,,mi_BLE.bin,0
pro,mi,stm32,mi_DRV.bin,,,mi_BLE.bin,0
pro2,mi,stm32;gd32,mi_DRV.bin,mi_DRV_GD32.bin,,mi_BLE.bin,1
1s,mi,stm32;gd32,mi_DRV.bin,mi_DRV_GD32.bin,,mi_BLE.bin,1
lite,mi,stm32;gd32,mi_DRV.bin,mi_DRV_GD32.bin,,mi_BLE.bin,1
mi3,mi,stm32;gd32,mi_DRV.bin,mi_DRV_GD32.bin,,mi_BLE.bin,1
max,nb,stm32;at32,nb_DRV.bin,,nb_DRV_AT32.bin,nb_BLE.bin,0
esx,nb,stm32,nb_DRV.bin,,,nb_BLE.bin,0
e,nb,stm32,nb_DRV.bin,,,nb_BLE.bin,0
f,nb,stm32;at32,nb_DRV.bin,,nb_DRV_AT32.bin,nb_BLE.bin,0
t15,nb,stm32,nb_DRV.bin,,,nb_BLE.bin,0
g2,nb,stm32;gd32;at32,nb_DRV.bin,mi_DRV_GD32_4k.bin,nb_DRV_AT32.bin,nb_BLE.bin,0
f2,nb,stm32;gd32;at32,nb_DRV.bin,mi_DRV_GD32_4k.bin,nb_DRV_AT32.bin,nb_BLE.bin,0
f2plus,nb,stm32;gd32;at32,nb_DRV.bin,mi_DRV_GD32_4k.bin,nb_DRV_AT32.bin,nb_BLE.bin,0
f2pro,nb,stm32;gd32;at32,nb_DRV.bin,mi_DRV_GD32_4k.bin,nb_DRV_AT32.bin,nb_BLE.bin,0
4pro,nb,stm32;gd32;at32,nb_DRV.bin,mi_DRV_GD32_4k.bin,nb_DRV_AT32.bin,nb_BLE.bin,0
4proplus,nb,stm32;gd32;at32,nb_DRV.bin,mi_DRV_GD32_4k.bin,nb_DRV_AT32.bin,nb_BLE.bin,0
4promax,nb,stm32;gd32;at32,nb_DRV.bin,mi_DRV_GD32_4k.bin,nb_DRV_AT32.bin,nb_BLE.bin,0
4proita,mi,stm32f4,mi_DRV_F4.bin,,,,0
